#ST       L         R        Teff     Mass    Bol    BC     B-V    V-R    V-I    Mu     Mv     Mb     Mr     Mi     Mj     Mh     Mk     Ml  flag  check
 M6   8.455E-02  9.046E-01   3123.   0.100   7.43  -3.93   1.93   1.80   3.95  14.59  11.37  13.29   9.56   7.42   5.52   4.88   4.53   4.20   0     0
 M4   1.288E-01  9.421E-01   3419.   0.200   6.98  -2.32   1.58   1.17   2.68  12.13   9.30  10.88   8.13   6.62   5.20   4.59   4.33   4.11   0     0
 M2   1.949E-01  1.025E+00   3650.   0.300   6.53  -1.57   1.49   0.97   2.08  10.79   8.09   9.59   7.12   6.02   4.92   4.26   4.05   3.89   0     0
 M1   2.841E-01  1.123E+00   3802.   0.400   6.12  -1.29   1.44   0.91   1.85  10.07   7.40   8.84   6.49   5.55   4.58   3.90   3.73   3.59   0     0
 M0   3.849E-01  1.221E+00   3918.   0.500   5.79  -1.13   1.40   0.88   1.73   9.54   6.92   8.32   6.04   5.19   4.28   3.61   3.46   3.33   0     0
 M0   4.960E-01  1.318E+00   4025.   0.600   5.51  -1.03   1.36   0.85   1.65   9.12   6.54   7.91   5.69   4.89   4.03   3.37   3.22   3.10   0     0
 K7   6.138E-01  1.409E+00   4126.   0.700   5.28  -0.92   1.31   0.82   1.56   8.69   6.20   7.51   5.38   4.64   3.83   3.18   3.05   2.93   0     0
 K6   7.389E-01  1.492E+00   4228.   0.800   5.08  -0.80   1.25   0.77   1.46   8.26   5.88   7.13   5.11   4.42   3.65   3.02   2.90   2.79   0     0
 K6   8.772E-01  1.574E+00   4320.   0.900   4.89  -0.72   1.19   0.73   1.36   7.87   5.61   6.80   4.88   4.25   3.48   2.86   2.75   2.64   0     0
 K5   1.034E+00  1.652E+00   4400.   1.000   4.71  -0.67   1.15   0.71   1.30   7.56   5.39   6.53   4.68   4.09   3.31   2.71   2.60   2.50   0     0
 K5   1.205E+00  1.722E+00   4483.   1.100   4.55  -0.64   1.11   0.68   1.26   7.29   5.18   6.30   4.50   3.93   3.16   2.57   2.47   2.36   0     0
 K5   1.412E+00  1.798E+00   4567.   1.200   4.38  -0.60   1.08   0.66   1.21   7.00   4.97   6.05   4.32   3.77   3.00   2.43   2.32   2.22   0     0
 K4   1.650E+00  1.877E+00   4650.   1.300   4.21  -0.55   1.03   0.63   1.15   6.66   4.75   5.78   4.13   3.61   2.87   2.31   2.21   2.12   0     0
 K3   1.917E+00  1.950E+00   4734.   1.400   4.04  -0.49   0.98   0.59   1.08   6.30   4.53   5.51   3.94   3.45   2.75   2.21   2.11   2.03   0     0
 K3   2.250E+00  2.039E+00   4818.   1.500   3.87  -0.46   0.94   0.56   1.04   6.01   4.33   5.27   3.76   3.29   2.61   2.09   2.00   1.92   0     0
 K2   2.648E+00  2.132E+00   4908.   1.600   3.69  -0.43   0.90   0.54   1.00   5.70   4.12   5.02   3.58   3.12   2.48   1.97   1.88   1.81   0     0
 K2   3.147E+00  2.236E+00   5005.   1.700   3.51  -0.39   0.87   0.52   0.96   5.38   3.90   4.77   3.38   2.94   2.32   1.83   1.74   1.68   0     0
 K1   3.801E+00  2.362E+00   5104.   1.800   3.30  -0.36   0.85   0.50   0.92   5.05   3.66   4.51   3.17   2.74   2.15   1.68   1.59   1.53   0     0
 K1   4.706E+00  2.518E+00   5215.   1.900   3.07  -0.33   0.82   0.47   0.88   4.70   3.40   4.22   2.92   2.52   1.96   1.50   1.42   1.36   0     0
 K0   6.094E+00  2.730E+00   5344.   2.000   2.79  -0.30   0.79   0.45   0.85   4.28   3.08   3.88   2.63   2.24   1.71   1.28   1.20   1.14   0     0
 G6   1.377E+01  3.560E+00   5739.   2.200   1.90  -0.22   0.67   0.40   0.77   2.99   2.12   2.79   1.72   1.35   0.94   0.57   0.51   0.46   0     0
 A5   5.393E+01  3.353E+00   8398.   2.500   0.42  -0.15   0.13   0.05   0.13   0.79   0.57   0.70   0.52   0.44   0.30   0.25   0.23   0.21   0     0
 B9   7.345E+01  2.214E+00  11168.   2.700   0.08  -0.66  -0.07  -0.01  -0.08   0.47   0.74   0.67   0.75   0.82   0.92   0.95   0.98   1.01   0     0
 B8   9.824E+01  1.896E+00  12917.   3.000  -0.23  -0.99  -0.11  -0.02  -0.09   0.27   0.76   0.65   0.78   0.86   1.05   1.10   1.15   1.18   0     0
 B6   1.550E+02  1.960E+00  14262.   3.500  -0.73  -1.27  -0.13  -0.03  -0.09  -0.08   0.55   0.42   0.58   0.64   0.88   0.93   1.02   1.01   0     0
 B5   2.505E+02  2.117E+00  15427.   4.000  -1.25  -1.46  -0.14  -0.04  -0.11  -0.51   0.21   0.07   0.25   0.32   0.57   0.63   0.73   0.71   0     0
 B4   5.527E+02  2.440E+00  17831.   5.000  -2.11  -1.85  -0.18  -0.06  -0.15  -1.15  -0.26  -0.43  -0.20  -0.11   0.18   0.25   0.35   0.34   0     0
 B3   1.041E+03  2.738E+00  19684.   6.000  -2.79  -2.11  -0.20  -0.08  -0.17  -1.68  -0.69  -0.88  -0.61  -0.52  -0.19  -0.10  -0.02   0.00   0     0
 B3   1.761E+03  3.038E+00  21354.   7.000  -3.36  -2.29  -0.21  -0.09  -0.18  -2.14  -1.08  -1.29  -0.99  -0.89  -0.54  -0.45  -0.36  -0.33   0     0
